Gene_Ensembl_ID,BaseMean_CPM,Mean_CPM_sh587,Mean_CPM_shE,Log2FoldChange,Abs_Log2FoldChange,log10_BaseMean_CPM_plus1,Regulation_class
ENSG00000157103,5.890057646106236,11.49112570366656,0.28898958854591095,3.9258170296453594,3.9258170296453594,0.8382228554752762,Higher_in_sh587
ENSG00000230937,43.49860176541969,81.68455435990862,5.312649170930772,3.821599540665946,3.821599540665946,1.6483463647988426,Higher_in_sh587
ENSG00000078401,12.120906947429653,22.710344970362513,1.5314689244967932,3.5141727644506826,3.5141727644506826,1.1179638555160694,Higher_in_sh587
ENSG00000197408,11.72892804191503,21.93062740781974,1.5272286760103189,3.4678892322769683,3.4678892322769683,1.1047918313768774,Higher_in_sh587
ENSG00000008226,6.003418442292728,11.337119297316704,0.6697175872687517,3.3390858693551193,3.3390858693551193,0.8453100754768897,Higher_in_sh587
ENSG00000137872,25.02070460670545,45.94571983650279,4.0956893769081155,3.3371924579770207,3.3371924579770207,1.4153190525123054,Higher_in_sh587
ENSG00000234787,20.67753562991215,37.768794640642895,3.586276619181403,3.22730968562113,3.22730968562113,1.3360099087167367,Higher_in_sh587
ENSG00000145824,8.537653113642795,15.779965530921142,1.2953406963644467,3.1807680940248897,3.1807680940248897,0.9794415230076461,Higher_in_sh587
ENSG00000271860,2.4609995520339143,4.780631323770422,0.14136778029740682,3.041486635129625,3.041486635129625,0.5392015430822781,Higher_in_sh587
ENSG00000257474,4.186599140328484,7.839152136916436,0.5340461437405328,3.011600142042133,3.011600142042133,0.7148826837231541,Higher_in_sh587
ENSG00000228278,3.6079158750455567,6.788474684685945,0.4273570654051684,2.974420082461641,2.974420082461641,0.6635045417395901,Higher_in_sh587
ENSG00000164023,4.125843613931649,7.632894457437034,0.6187927704262639,2.8618260554659107,2.8618260554659107,0.7097653520154938,Higher_in_sh587
ENSG00000095596,17.02862323454245,30.29037027846459,3.7668761906203105,2.8512270625868843,2.8512270625868843,1.2559625628582416,Higher_in_sh587
ENSG00000127084,9.353520941469455,16.775958699913694,1.9310831830252138,2.829094609519893,2.829094609519893,1.0150880662582038,Higher_in_sh587
ENSG00000262714,2.1793630363856136,4.1806145752826245,0.17811149748860267,2.7871035603740135,2.7871035603740135,0.5023401207732716,Higher_in_sh587
ENSG00000179750,19.67118827902277,34.652587275936426,4.689789282109112,2.7598830094221083,2.7598830094221083,1.315365442674186,Higher_in_sh587
ENSG00000238266,7.617151855107384,13.631157020799783,1.6031466894149844,2.748258211268726,2.748258211268726,0.9353637463346974,Higher_in_sh587
ENSG00000110148,34.281009857444126,59.81639638616099,8.745623328727257,2.705707744335912,2.705707744335912,1.5475410075606524,Higher_in_sh587
ENSG00000215866,30.701437415647938,53.477369742399425,7.925505088896454,2.67951959746212,2.67951959746212,1.5010789545688923,Higher_in_sh587
ENSG00000126010,8.778120252880177,15.525926129552069,2.0303143762082843,2.6630191845412603,2.6630191845412603,0.9902553739833655,Higher_in_sh587
ENSG00000197462,2.127387036943291,4.022688948304031,0.23208512558255057,2.627097459388388,2.627097459388388,0.4951816316769839,Higher_in_sh587
ENSG00000229271,4.165855372629551,7.518117562777123,0.8135931824819784,2.609745025948978,2.609745025948978,0.7131422431558889,Higher_in_sh587
ENSG00000109436,8.356010862942238,14.682661257421612,2.0293604684628637,2.585580131817112,2.585580131817112,0.9710907173817854,Higher_in_sh587
ENSG00000092345,10.192271986718053,17.79483475105347,2.5897092223826346,2.565893409298347,2.565893409298347,1.0489182555309056,Higher_in_sh587
ENSG00000184261,13.131590521023151,22.8232602263428,3.4399208157035015,2.5655309289109853,2.5655309289109853,1.1501910447664483,Higher_in_sh587
ENSG00000167874,2.2030580642879953,4.114012912851257,0.2921032157247343,2.542261702229503,2.542261702229503,0.5055648115240486,Higher_in_sh587
ENSG00000130513,7.1771070000864405,12.553075648897595,1.801138351275286,2.5039701534582752,2.5039701534582752,0.9125996806728673,Higher_in_sh587
ENSG00000258451,2.410412985111705,4.4412242060760025,0.3796017641474072,2.489946116174934,2.489946116174934,0.5328069732139129,Higher_in_sh587
ENSG00000136881,1.9038797415154252,3.5707615560813046,0.23699792694954558,2.4655662520420267,2.4655662520420267,0.462978626946207,Higher_in_sh587
ENSG00000236123,1.1351260029209438,2.2658320797294387,0.004419926112448791,2.4550163969647087,2.4550163969647087,0.32942350969291023,Higher_in_sh587
ENSG00000239482,3.385153964927414,6.066305932497389,0.7040019973574383,2.4472441830306795,2.4472441830306795,0.6419848462640929,Higher_in_sh587
ENSG00000174080,63.48175935222275,107.50182407956612,19.46169462487938,2.4357495718554723,2.4357495718554723,1.8094368784641905,Higher_in_sh587
ENSG00000187091,47.6591441963899,80.63003883403765,14.688249558742159,2.4172805697235913,2.4172805697235913,1.68716446641038,Higher_in_sh587
ENSG00000115008,3.916344407547708,6.933802970218475,0.8988858448769403,2.4098222135253184,2.4098222135253184,0.6916422991652434,Higher_in_sh587
ENSG00000212664,5.8971815888536145,10.192317487232167,1.6020456904750633,2.346708647852782,2.346708647852782,0.8386716602355616,Higher_in_sh587
ENSG00000159388,35.156563748110614,59.051029455366745,11.262098040854488,2.33998102710683,2.33998102710683,1.5581871492329002,Higher_in_sh587
ENSG00000205592,3.2736372041807655,5.783586138026904,0.7636882703346268,2.313947542211357,2.313947542211357,0.6307976514476271,Higher_in_sh587
ENSG00000142920,3.2591107030061828,5.759295344434581,0.7589260615777849,2.3138066972341393,2.3138066972341393,0.629318928423101,Higher_in_sh587
ENSG00000253348,1.791634482398048,3.3130069191852165,0.2702620456108793,2.3075079051271308,2.3075079051271308,0.44585855411250275,Higher_in_sh587
ENSG00000148680,25.329890408746834,42.444868932935734,8.214911884557933,2.300927785363954,2.300927785363954,1.4204490514731185,Higher_in_sh587
ENSG00000157570,59.654991578449,99.0574633535763,20.252519803321704,2.2622429506667734,2.2622429506667734,1.7828665467652334,Higher_in_sh587
ENSG00000162399,1.793911002683913,3.289766690580103,0.29805531478772274,2.247548383426045,2.247548383426045,0.4462125679704072,Higher_in_sh587
ENSG00000253507,40.898052952706124,67.82227048521018,13.97383542020206,2.238908647240345,2.238908647240345,1.6221938413065529,Higher_in_sh587
